n_players,3,4,5,6,7,8,9,10
3,21.3467629875,24.96869985714286,24.960404037974683,27.41492998765432,28.36301316438356,29.80309561538461,31.79896846153846,32.65234053333333
4,20.894634420454544,24.28468657954545,25.63903353409092,26.24255954945056,27.135173989010987,30.98431640659341,30.70384113333333,32.23253084782608
5,21.20384530769231,24.75592711650485,24.091388633663364,26.18031641584158,27.608358274509804,29.565361504761903,30.9483970882353,32.527911362745094
6,20.9887778852459,24.313859,25.24600746341464,27.067797406504063,27.94931518253968,29.379095950819668,29.781482704,32.6760403515625
7,20.70615397005988,24.308319142857144,24.33595060730593,26.845923042056075,26.17888208715597,29.9718230974359,31.13259279292929,33.40265352054794
8,20.408103066666666,24.14036115217391,24.91278613333333,27.66128795555556,28.783893943820217,31.79839335204082,32.55490422513089,34.72521687222223
9,19.99320222395833,23.95499244041451,24.48412611340206,26.80934806951872,28.844132273195875,31.94352017894737,30.872460370967744,33.30607588421053
10,21.24833722167488,24.57693264788732,25.07601177777778,27.650762596330274,28.416301047846886,30.800521952380954,32.93432026086956,35.25763949758454
20,20.76941531991525,25.06001715102041,25.90713114315789,27.66094098125,31.82611492467043,31.89243445490981,32.779184313765185,35.8806036469428
25,21.02370875142857,25.636157855007475,26.10877799445983,28.664291709141278,29.5109717829233,31.75613186926287,34.32492106437126,36.72388885673759
50,23.57638165837104,26.790378814092144,27.935439431404962,29.89668080603689,31.634265821563343,33.71965249007717,34.83859957159091,37.99982750756757
