2024/06/07 20:31:52 config ../../config/config_node.yaml: {Address:localhost Port:5002 RaftId:node_name2 RaftDir:data RaftBootstrap:false Life:100 Players:[node_name1 node_name2 node_name3 node_name4]}
2024/06/07 20:31:52 10.30.19.58
2024-06-07T20:31:52.136-0700 [INFO]  raft: initial configuration: index=0 servers=[]
2024-06-07T20:34:25.434-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:27.451-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:29.499-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:31.540-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:33.575-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:35.605-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:37.663-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:39.686-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:41.731-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:43.764-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:45.812-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:47.840-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:49.882-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:51.915-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:53.965-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:55.997-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:34:58.053-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:00.091-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:02.140-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:04.173-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:06.237-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:08.263-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:10.311-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:12.338-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:14.393-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:16.443-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:18.469-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:20.484-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:22.535-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:24.565-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:26.617-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:28.668-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:30.704-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:32.732-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:34.769-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:36.796-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:38.852-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:40.876-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:42.924-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:44.955-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:46.998-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:49.020-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:51.066-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:53.091-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:55.164-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:57.176-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:35:59.234-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:36:01.258-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
